category,location_type,context,outcome_status,persistent_id,id,location_subtype,month,location.latitude,location.street.id,location.street.name,location.longitude,outcome_status.category,outcome_status.date
other-theft,Force,,,8a9a24d3766d7e16fb9bfb0885dd60d35c274c9ce4560d95698dfabe7123a24b,115392064,,2023-12,52.636211,1738740,On or near Wimbledon Street,-1.125919,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,b4f7e34dd318ad58ef55c6e7d3805858079d4642fbad3e10b62ab509cc35c7af,115386772,,2023-12,52.637303,1738702,On or near Camden Street,-1.127715,Unable to prosecute suspect,2023-12
other-theft,Force,,,f93b23ca354b162b76f5e3da86dcaad18e8f7e6e9b932f40759cd6b080a41f0a,115400889,,2023-12,52.632870,1737604,On or near Little Holme Street,-1.144913,Investigation complete; no suspect identified,2024-01
other-theft,Force,,,ec7ebc652beb100d627b5412f0b8c7422310d2002df5f2705b2b8de69f78324f,115386932,,2023-12,52.635559,1738487,On or near Shopping Area,-1.131414,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,7bb5f7bc790dd7677f14b12488729f36fafe19c445274e7c3c921a17a539a133,115386969,,2023-12,52.636054,1738679,On or near Vestry Street,-1.127784,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,209bf735d46add792e2bc8f2255607e16d6f83934ce61b94e7fa73c014384ef3,115400440,,2023-12,52.626733,1737627,On or near Mint Road,-1.145358,Action to be taken by another organisation,2024-01
other-theft,Force,,,88abfb74ecd5b8d707d757dba11b9c89e42df1f71fcdf921efdf0ac841459c7b,115387096,,2023-12,52.636111,1738000,On or near Freeschool Lane,-1.138053,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,438132594303165db2e7f49ca7312b5fee55756ed1238477ae5c013607fa72f2,115387191,,2023-12,52.636211,1738740,On or near Wimbledon Street,-1.125919,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,e70e1d84fcfe735cf3d905830b05e9a6110fdcbf4f58cc934716c4ce165fe867,115387291,,2023-12,52.627443,1737547,On or near Gaul Street,-1.147708,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,c80978f6112be944deb1e3afed3f2a8559df052cc194571a864aca9a8c3fd2b5,115399611,,2023-12,52.630574,1738432,On or near King Street,-1.131985,Investigation complete; no suspect identified,2024-01
other-theft,Force,,,fb4b5935a2ec9bd70e17ebaa90a20dbc97ee613dd3a9c0685f966b7ee62f86ff,115399417,,2023-12,52.635182,1737576,On or near Rivers Street,-1.147646,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,cab965509531aeb9a6909326036f3b423e236694d81b5f82403c672ccd02504f,115400793,,2023-12,52.636041,1738351,On or near East Gates,-1.133444,Investigation complete; no suspect identified,2023-12
other-theft,Force,,,c55a62ffac39f7ca926771959186323c91a9bb93a36c2653c838d33f719d83b4,115398921,,2023-12,52.633318,1738276,On or near Nightclub,-1.134798,Investigation complete; no suspect identified,2024-01
other-theft,Force,,,0ba8bca45c11dcdecbd1b4b25def2cab57bfc634fcc381758232cedc687781b4,115388690,,2023-12,52.632588,1737406,On or near Andrewes Street,-1.149351,Unable to prosecute suspect,2023-12
other-theft,Force,,,5f9f4c485476081b4a9554190cb006bb4e5c7a39a410a774308f860a39309ce3,115389069,,2023-12,52.631711,1737704,On or near Thorpe Street,-1.144995,Investigation complete; no suspect identified,2023-12
